"Method","Sig","Type","Contribution","ContributionRelative"
"QP","SBS1","optimal",523.000989,0.0403394515295549
"QP","SBS10a","optimal",3135.180689,0.241818795949374
"QP","SBS10b","optimal",3991.199866,0.307844185624041
"QP","SBS10c","optimal",0,0
"QP","SBS10d","optimal",0,0
"QP","SBS11","optimal",0,0
"QP","SBS12","optimal",0,0
"QP","SBS13","optimal",0,0
"QP","SBS14","optimal",396.971802,0.0306187275018309
"QP","SBS15","optimal",776.404566,0.0598846560832834
"QP","SBS16","optimal",0,0
"QP","SBS17a","optimal",0,0
"QP","SBS17b","optimal",453.994676,0.0350169437770948
"QP","SBS18","optimal",0,0
"QP","SBS19","optimal",0,0
"QP","SBS2","optimal",0,0
"QP","SBS20","optimal",0,0
"QP","SBS21","optimal",315.030342,0.0242985223330966
"QP","SBS22a","optimal",0,0
"QP","SBS22b","optimal",0,0
"QP","SBS23","optimal",0,0
"QP","SBS24","optimal",0,0
"QP","SBS25","optimal",0,0
"QP","SBS26","optimal",0,0
"QP","SBS27","optimal",0,0
"QP","SBS28","optimal",1184.79287,0.0913839467938888
"QP","SBS29","optimal",0,0
"QP","SBS3","optimal",0,0
"QP","SBS30","optimal",0,0
"QP","SBS31","optimal",0,0
"QP","SBS32","optimal",0,0
"QP","SBS33","optimal",108.541857,0.00837191338347426
"QP","SBS34","optimal",0,0
"QP","SBS35","optimal",0,0
"QP","SBS36","optimal",0,0
"QP","SBS37","optimal",694.756022,0.0535870437413941
"QP","SBS38","optimal",0,0
"QP","SBS39","optimal",0,0
"QP","SBS4","optimal",0,0
"QP","SBS40a","optimal",0,0
"QP","SBS40b","optimal",0,0
"QP","SBS40c","optimal",0,0
"QP","SBS41","optimal",0,0
"QP","SBS42","optimal",0,0
"QP","SBS43","optimal",3.170626,0.00024455271889619
"QP","SBS44","optimal",0,0
"QP","SBS45","optimal",0,0
"QP","SBS46","optimal",882.54289,0.0680711831960002
"QP","SBS47","optimal",0,0
"QP","SBS48","optimal",47.840417,0.00368996660296027
"QP","SBS49","optimal",0,0
"QP","SBS5","optimal",0,0
"QP","SBS50","optimal",0,0
"QP","SBS51","optimal",0,0
"QP","SBS52","optimal",0,0
"QP","SBS53","optimal",0,0
"QP","SBS54","optimal",142.584435,0.0109976425007324
"QP","SBS55","optimal",0,0
"QP","SBS56","optimal",80.985961,0.00624650682703378
"QP","SBS57","optimal",105.507463,0.00813786833908799
"QP","SBS58","optimal",0,0
"QP","SBS59","optimal",0,0
"QP","SBS6","optimal",0,0
"QP","SBS60","optimal",0,0
"QP","SBS7a","optimal",0,0
"QP","SBS7b","optimal",0,0
"QP","SBS7c","optimal",0,0
"QP","SBS7d","optimal",0,0
"QP","SBS8","optimal",0,0
"QP","SBS84","optimal",0,0
"QP","SBS85","optimal",0,0
"QP","SBS86","optimal",0,0
"QP","SBS87","optimal",0,0
"QP","SBS88","optimal",122.494527,0.00944809309825655
"QP","SBS89","optimal",0,0
"QP","SBS9","optimal",0,0
"QP","SBS90","optimal",0,0
"QP","SBS91","optimal",0,0
"QP","SBS92","optimal",0,0
"QP","SBS93","optimal",0,0
"QP","SBS94","optimal",0,0
"QP","SBS95","optimal",0,0
"QP","SBS96","optimal",0,0
"QP","SBS97","optimal",0,0
"QP","SBS98","optimal",0,0
"QP","SBS99","optimal",0,0
